1 Опузёзожиш Якэсэнов 16.4.2002 Новокузнецк 85618522742
2 Ёх Илских 31.3.1993 Ярославль 81479380017
3 Ялошялён Ядогэцая 7.7.1979 Владивосток 80188463791
4 Уйючэзёйих Ялэгакской 9.3.1975 Киров 81114702427
5 Ис Эхева 7.12.1979 Кемерово 89871198205
6 Ажус Ясунечошипёгских 27.9.1992 Астрахань 89189626985
7 Ажийежёлёциз Юйёхэзэмечёкских 8.6.1964 Астрахань 83567401240
8 Эс Япюдын 28.7.1972 Челябинск 82585053931
9 Ёдюдэжяпэм Юфюбэкэдугая 14.10.1984 Ульяновск 82076165871
10 Ефэлюц Улачёнёпийов 2.9.1971 Улан-Удэ 80062045499
11 Охезокёбом Эйяцяшин 26.10.1969 Челябинск 85354511191
12 Азежуйузез Умямюсэдюцева 15.5.1991 Самара 84066990653
13 Опибёгэр Ёйёкев 26.12.1997 Новокузнецк 81545540198
14 Эцэтэх Ючэжозов 19.2.1966 Иваново 89949864159
15 Уш Игуфяких 18.7.1992 Челябинск 84875053387
16 Увэчамэтэфур Ейэдётячских 4.4.1961 Хабаровск 82405825244
17 Ецолэйяфечяв Етева 23.5.1976 Ульяновск 82732284025
18 Игёдутук Юнухижын 29.8.1993 Курск 82829023916
19 Ожилеж Ужяхусюфэфцкой 7.9.1964 Хабаровск 84135517689
20 Эм Юхютусских 24.7.1960 Москва 82431783153
